Item,IDis_end_line,IDif_end_line,IDis_fus,IDif_fus
1,0.889910516,0.632333024,0.528149663,0.929463893
2,0.757829824,0.511855336,1.249966245,1.71287233
3,0.290403531,2.311512355,1.197353046,0.823198025
4,0.737649248,-0.149642282,1.545551503,1.308640321
5,0.754986224,0.039186449,1.129310022,2.672689241
6,1.360864513,1.796759854,0.911450486,1.385350445
7,1.142630719,2.773053166,1.19123412,0.271053652
8,1.16082065,3.118175985,1.285879568,2.108098149
9,1.088347639,1.685644103,1.142136288,2.404879178
10,1.376165382,1.055285038,0.802523173,1.17203269
11,1.399758343,1.496992853,1.409481631,3.766145305
12,1.484702722,1.977375127,1.028478148,1.691319567
13,1.012002276,-0.36702665,1.195187128,-1.112313008
14,2.246308023,0.133414643,1.262916115,1.893458715
15,2.321485247,0.489797799,0.569528422,1.740548728
16,0.893066475,3.804823968,0.503596506,6.878466713
17,1.305181071,1.547291348,1.674780408,0.259096757
18,0.799231573,0.843430325,1.809161356,1.327297158
19,1.270895596,2.019118588,2.088035985,0.582229362
20,0.531282081,3.425653764,1.740382144,0.71663731
21,NA,NA,1.005487681,3.311277763
22,NA,NA,1.034361937,2.297141158
23,NA,NA,0.623845302,4.989831221
24,NA,NA,0.864132942,1.915203783
25,NA,NA,1.333741268,3.160370746
