department,urban.rural,treatment,ID_IE,year_survey,month_survey,Sex,Age,Year_HM_ttl,Year_HM_this_school,Highest_Degree,Highest_Degree_other,Degree_Teacher__1,Degree_Teacher__2,Degree_Teacher__3,Degree_Teacher__4,Degree_Teacher__5,Degree_Teacher__6,Degree_Teacher__7,Degree_Teacher__8,Teacher_Title__1,Teacher_Title__2,Teacher_Title__3,Teacher_Title__4,Multi_shift_G1__1,Multi_shift_G1__2,Multi_shift_G2__1,Multi_shift_G2__2,Multi_shift_G3__1,Multi_shift_G3__2,Multi_shift_G4__1,Multi_shift_G4__2,Multi_shift_G5__1,Multi_shift_G5__2,Multi_shift_G6__1,Multi_shift_G6__2,Multi_shift_G7__1,Multi_shift_G7__2,Multi_shift_G8__1,Multi_shift_G8__2,Multi_shift_G9__1,Multi_shift_G9__2,Number_Female_G1_Students_AM,Number_Male_G1_Students_AM,Number_Female_G2_Students_AM,Number_Male_G2_Students_AM,Number_Female_G3_Students_AM,Number_Male_G3_Students_AM,Number_Female_G4_Students_AM,Number_Male_G4_Students_AM,Number_Female_G5_Students_AM,Number_Male_G5_Students_AM,Number_Female_G6_Students_AM,Number_Male_G6_Students_AM,Number_Female_G7_Students_AM,Number_Male_G7_Students_AM,Number_Female_G8_Students_AM,Number_Male_G8_Students_AM,Number_Female_G9_Students_AM,Number_Male_G9_Students_AM,Number_Female_G1_Students_PM,Number_Male_G1_Students_PM,Number_Female_G2_Students_PM,Number_Male_G2_Students_PM,Number_Female_G3_Students_PM,Number_Male_G3_Students_PM,Number_Female_G4_Students_PM,Number_Male_G4_Students_PM,Number_Female_G5_Students_PM,Number_Male_G5_Students_PM,Number_Female_G6_Students_PM,Number_Male_G6_Students_PM,Number_Female_G7_Students_PM,Number_Male_G7_Students_PM,Number_Female_G8_Students_PM,Number_Male_G8_Students_PM,Number_Female_G9_Students_PM,Number_Male_G9_Students_PM,Number_of_Teachers,Vice_Headmaster,Multi_section_G2__1,Multi_section_G2__2,Multi_section_G7__1,Multi_section_G7__2,Enrol_Female_G1_AM,Enrol_Male_G1_AM,Enrol_Female_G2_AM,Enrol_Male_G2_AM,Enrol_Female_G3_AM,Enrol_Male_G3_AM,Enrol_Female_G7_AM,Enrol_Male_G7_AM,Enrol_Female_G8_AM,Enrol_Male_G8_AM,Enrol_Female_G9_AM,Enrol_Male_G9_AM,Enrol_Female_G1_PM,Enrol_Male_G1_PM,Enrol_Female_G2_PM,Enrol_Male_G2_PM,Enrol_Female_G3_PM,Enrol_Male_G3_PM,Enrol_Female_G7_PM,Enrol_Male_G7_PM,Enrol_Female_G8_PM,Enrol_Male_G8_PM,Enrol_Female_G9_PM,Enrol_Male_G9_PM,Dropout_Female_G1_AM,Dropout_Male_G1_AM,Dropout_Female_G2_AM,Dropout_Male_G2_AM,Dropout_Female_G3_AM,Dropout_Male_G3_AM,Dropout_Female_G7_AM,Dropout_Male_G7_AM,Dropout_Female_G8_AM,Dropout_Male_G8_AM,Dropout_Female_G9_AM,Dropout_Male_G9_AM,Dropout_Female_G1_PM,Dropout_Male_G1_PM,Dropout_Female_G2_PM,Dropout_Male_G2_PM,Dropout_Female_G3_PM,Dropout_Male_G3_PM,Dropout_Female_G7_PM,Dropout_Male_G7_PM,Dropout_Female_G8_PM,Dropout_Male_G8_PM,Dropout_Female_G9_PM,Dropout_Male_G9_PM,Transfer_Female_G1_AM,Transfer_Male_G1_AM,Transfer_Female_G2_AM,Transfer_Male_G2_AM,Transfer_Female_G3_AM,Transfer_Male_G3_AM,Transfer_Female_G7_AM,Transfer_Male_G7_AM,Transfer_Female_G8_AM,Transfer_Male_G8_AM,Transfer_Female_G9_AM,Transfer_Male_G9_AM,Transfer_Female_G1_PM,Transfer_Male_G1_PM,Transfer_Female_G2_PM,Transfer_Male_G2_PM,Transfer_Female_G3_PM,Transfer_Male_G3_PM,Transfer_Female_G7_PM,Transfer_Male_G7_PM,Transfer_Female_G8_PM,Transfer_Male_G8_PM,Transfer_Female_G9_PM,Transfer_Male_G9_PM,Repeat_Female_G1_AM,Repeat_Male_G1_AM,Repeat_Female_G2_AM,Repeat_Male_G2_AM,Repeat_Female_G3_AM,Repeat_Male_G3_AM,Repeat_Female_G7_AM,Repeat_Male_G7_AM,Repeat_Female_G8_AM,Repeat_Male_G8_AM,Repeat_Female_G9_AM,Repeat_Male_G9_AM,Repeat_Female_G1_PM,Repeat_Male_G1_PM,Repeat_Female_G2_PM,Repeat_Male_G2_PM,Repeat_Female_G3_PM,Repeat_Male_G3_PM,Repeat_Female_G7_PM,Repeat_Male_G7_PM,Repeat_Female_G8_PM,Repeat_Male_G8_PM,Repeat_Female_G9_PM,Repeat_Male_G9_PM,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__1,Internet_Place__2,Internet_Place__3,Internet_Place__4,Meal_Provision,Supplement_Class,Donor_Project__1,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,treatment_d,Highest_Degree_highschool,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Highest_Degree_professorate,Number_G1_Students_AM,Number_G2_Students_AM,Number_G3_Students_AM,Number_G4_Students_AM,Number_G5_Students_AM,Number_G6_Students_AM,Number_G7_Students_AM,Number_G8_Students_AM,Number_G9_Students_AM,Number_G1_Students_PM,Number_G2_Students_PM,Number_G3_Students_PM,Number_G4_Students_PM,Number_G5_Students_PM,Number_G6_Students_PM,Number_G7_Students_PM,Number_G8_Students_PM,Number_G9_Students_PM,Number_G1_Students_AM_r,Number_G2_Students_AM_r,Number_G3_Students_AM_r,Number_G4_Students_AM_r,Number_G5_Students_AM_r,Number_G6_Students_AM_r,Number_G7_Students_AM_r,Number_G8_Students_AM_r,Number_G9_Students_AM_r,Number_G1_Students_PM_r,Number_G2_Students_PM_r,Number_G3_Students_PM_r,Number_G4_Students_PM_r,Number_G5_Students_PM_r,Number_G6_Students_PM_r,Number_G7_Students_PM_r,Number_G8_Students_PM_r,Number_G9_Students_PM_r,Number_total_Students,repeat_rate_g2_am,repeat_rate_g7_am,repeat_rate_g2_pm,repeat_rate_g7_pm,drop_out_rate_g2_am,drop_out_rate_g7_am,drop_out_rate_g2_pm,drop_out_rate_g7_pm,Donor_Project
SAN MIGUEL,Urbana,Treatment,319079,2018,1,1,56,9,9,5,,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,13,13,14,14,14,20,18,28,29,22,22,20,NA,NA,NA,NA,NA,NA,8,11,8,16,12,17,NA,NA,NA,NA,NA,NA,20,22,21,22,17,9,12,2,0,0,0,1,9,7,10,3,5,4,NA,NA,NA,NA,NA,NA,5,3,2,5,4,3,6,6,5,6,6,6,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,3,1,0,2,1,2,NA,NA,NA,NA,NA,NA,2,0,2,0,1,1,0,0,1,0,2,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,26,28,34,46,51,42,NA,NA,NA,19,24,29,NA,NA,NA,42,43,26,26,28,34,46,51,42,0,0,0,19,24,29,0,0,0,42,43,26,410,0.153846154,NA,0.285714286,0,0.153846154,NA,0.571428571,0.25,1
SAN VICENTE,Urbana,Treatment,489699,2018,2,1,40,6,0,5,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,13,12,11,12,19,13,11,12,15,14,11,13,24,20,17,11,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,0,0,1,0,13,10,18,14,12,7,17,11,11,8,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,2,1,1,2,3,1,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,25,23,32,23,29,24,44,28,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,32,23,29,24,44,28,21,0,0,0,0,0,0,0,0,0,249,0,0,NA,NA,0.09375,0.178571429,NA,NA,1
CABANAS,Rural,Treatment,1090117,2018,2,1,35,3,3,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,14,18,16,15,15,13,20,20,16,12,9,13,4,14,9,9,11,10,7,12,11,7,NA,NA,NA,NA,11,16,NA,NA,6,9,10,7,6,9,19,1,0,0,0,0,15,21,16,12,16,21,11,10,11,12,14,12,12,9,0,0,NA,NA,10,8,5,12,10,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,32,31,28,40,28,22,18,18,21,19,18,NA,NA,27,NA,15,17,15,32,31,28,40,28,22,18,18,21,19,18,0,0,27,0,15,17,15,349,0,0,NA,0,0,0,NA,0,1
CABANAS,Rural,Control,1198421,2018,2,1,60,16,9,2,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,10,11,6,7,11,9,5,10,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,11,20,8,7,6,14,3,2,0,0,0,1,10,11,11,13,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,7,17,8,8,4,4,0,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,2,1,0,2,2,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,1,2,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,0,3,0,1,1,1,1,0,1,0,1,1,NA,NA,NA,NA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,21,13,20,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,31,15,20,21,13,20,15,15,0,0,0,0,0,0,0,0,0,17,31,15,20,167,0.083333333,NA,NA,0.5,0.166666667,NA,NA,0.333333333,1
CABANAS,Rural,Control,1201286,2018,2,0,44,0,0,5,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,10,10,11,9,9,16,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,14,8,10,9,8,11,7,8,10,0,0,0,0,0,12,13,11,21,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,7,8,16,6,1,4,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,20,20,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,19,19,15,20,20,25,20,0,0,0,0,0,0,0,0,0,20,22,19,19,15,180,0,NA,NA,0.041666667,0.0625,NA,NA,0.083333333,1
CABANAS,Rural,Control,1197830,2018,2,1,55,2,2,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,17,12,16,9,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,14,8,8,7,9,9,9,8,5,9,6,1,0,0,0,0,17,12,16,9,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,8,5,9,2,5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,22,15,18,17,14,29,25,13,0,0,0,0,0,0,0,0,0,24,22,15,18,17,14,177,0.12,NA,NA,0.166666667,0.04,NA,NA,0.222222222,1
CABANAS,Rural,Treatment,1090575,2018,2,0,43,12,0,5,,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,8,5,9,4,6,5,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,5,13,7,8,9,5,7,0,0,0,0,0,5,10,5,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,5,11,12,5,1,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,0,0,1,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,0,0,1,0,NA,NA,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,13,13,11,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,18,15,14,13,13,11,11,8,0,0,0,0,0,0,0,0,0,15,18,15,14,118,0,NA,NA,0,0.083333333,NA,NA,0.411764706,1
CABANAS,Rural,Treatment,1102632,2018,2,0,32,0,0,5,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,7,6,9,7,7,9,10,5,7,6,6,6,10,4,9,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,0,0,0,0,NA,NA,NA,NA,NA,NA,6,8,7,9,7,5,7,9,8,8,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,NA,NA,NA,13,16,16,15,13,12,14,16,15,NA,NA,NA,NA,NA,NA,0,0,0,13,16,16,15,13,12,14,16,15,0,0,0,0,0,0,130,NA,0,0,NA,NA,0,0,NA,1
CABANAS,Rural,Control,1214486,2018,1,0,37,0,0,5,,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,16,12,13,13,18,9,19,10,13,9,15,16,16,19,16,17,13,14,11,13,11,15,11,12,10,15,10,13,10,13,10,13,13,14,11,15,2,1,1,0,0,20,5,14,17,9,20,20,17,18,13,13,14,8,12,13,17,9,14,13,14,15,12,14,6,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,28,25,31,28,23,24,32,35,30,25,24,26,22,25,23,23,26,25,28,25,31,28,23,24,32,35,30,25,24,26,22,25,23,23,26,25,475,0.064516129,0,0.066666667,0,0.064516129,0,0.066666667,0,1
CABANAS,Rural,Treatment,1095230,2018,2,1,49,3,2,5,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,20,26,19,9,16,14,13,11,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,16,23,16,17,20,15,6,11,15,2,0,0,1,0,20,24,17,13,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,12,19,20,12,3,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,7,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,46,28,30,24,35,NA,NA,NA,NA,NA,NA,NA,16,NA,39,33,35,17,46,28,30,24,35,0,0,0,0,0,0,0,16,0,39,33,35,17,303,0,NA,NA,0,0.066666667,NA,NA,0.133333333,1
