department,urban.rural,treatment,ID_IE,HM_Sex,HM_Age,Year_HM_ttl,Year_HM_this_school,HM_Highest_Degree_highschool,HM_Highest_Degree_bachelor,HM_Highest_Degree_master,HM_Highest_Degree_doctor,HM_Highest_Degree_professorate,HM_Highest_Degree_other,HM_Teacher_Title__1,HM_Teacher_Title__2,HM_Teacher_Title__3,HM_Degree_Teacher__1,HM_Degree_Teacher__2,HM_Degree_Teacher__3,HM_Degree_Teacher__4,HM_Degree_Teacher__5,HM_Degree_Teacher__6,HM_Degree_Teacher__7,HM_Degree_Teacher__8,Number_G7_Students_AM_r,Number_G7_Students_PM_r,Number_total_Students,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Internet_Place__3,Meal_Provision,Donor_Project,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,Difficult_teach_e__1,Difficult_teach_e__2,Difficult_teach_e__3,Difficult_teach_e__4,Difficult_teach_e__5,Difficult_teach_e__6,Suggestion_to_Teachr__1,Suggestion_to_Teachr__2,Suggestion_to_Teachr__3,Suggestion_to_Teachr__4,Suggestion_to_Teachr__5,Suggestion_to_Teachr__6,RP_e,RP_Frequency,RP_Participant_schls__1,RP_Participant_schls__2,RP_Participant_schls__3,RP_Participant_schls__4,RP_Theme_test_e,RP_Theme_test_cmpr_e,RP_Theme_test_rvw_e,Meeting_Parents_Association,Vice_Headmaster,Number_of_Teachers,Observe_Lesson,Observe_Lesson_G7_e,same_HM_YorN_f,timing_end,timing_fus,treatment_d,treatment_2018,treatment_2019
SAN MIGUEL,Urbana,Treatment,319079,1,56,9,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,42,410,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,2,12,1,1,1,0,1,1,0,1
SAN MIGUEL,Urbana,Treatment,319079,1,56,9,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,42,410,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,2,1,1,2,12,1,1,1,1,0,1,1,0
SAN VICENTE,Urbana,Treatment,489699,0,36,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,44,0,249,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,2,0,1,0,0,1,2,2,1,1,11,2,2,2,0,1,1,0,1
SAN VICENTE,Urbana,Treatment,489699,1,40,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,44,0,249,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,2,0,0,1,0,1,1,1,1,1,11,1,1,2,1,0,1,1,0
CABANAS,Rural,Treatment,1090117,1,35,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,18,15,349,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,2,1,0,1,0,1,1,2,1,1,19,1,1,2,1,0,1,1,0
CABANAS,Rural,Treatment,1090117,0,39,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,15,349,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,1,1,1,0,1,1,1,1,1,19,1,1,2,0,1,1,0,1
CABANAS,Rural,Control,1198421,1,60,16,9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,31,167,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,2,0,1,0,0,1,1,1,1,2,3,1,1,1,0,1,0,0,0
CABANAS,Rural,Control,1198421,1,60,16,9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,31,167,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,2,1,0,0,0,1,2,1,1,2,3,1,1,1,1,0,0,0,0
CABANAS,Rural,Control,1201286,0,44,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,19,180,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,3,0,1,0,0,1,2,2,2,0,10,1,2,1,0,1,0,0,0
CABANAS,Rural,Control,1201286,0,44,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,19,180,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,1,1,1,2,0,10,1,1,1,1,0,0,0,0
