ID_IE,department,urban.rural,treatment,Ttl_teaching_periods,Teaching_Grade,Work_Shift_G7,Multigrade_G7,Teaching_other_subject_G7,Year_Start_teach,Year_Start_this_school,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,Inductive_Training,Classroom_Situation__1,Classroom_Situation__2,Classroom_Situation__3,Classroom_Situation__4,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Grade,No_Students_Female,No_Students_Male,Total_No_Students,treatment_d,Teacher_Sex,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Work_Shift_G7_morning,Work_Shift_G7_afternoon,Work_Shift_G7_both,Year_Start_teach_r,Teacher_Age
319079,SAN MIGUEL,Urbana,Treatment,25,0,2,2,0,1992,2008,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,14,26,7,9,10,19,1,0,0,1,0,0,0,0,1,0,27,46
489699,SAN VICENTE,Urbana,Treatment,50,0,1,2,0,2000,2018,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,17,7,24,7,17,6,23,1,1,0,0,1,0,0,1,0,0,19,41
1090117,CABANAS,Rural,Treatment,25,0,3,2,1,2015,2016,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,5,15,20,7,5,15,20,1,0,0,1,0,0,0,0,0,1,4,29
1198421,CABANAS,Rural,Control,21,0,2,2,1,2011,2018,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,4,7,11,7,3,7,10,0,1,0,1,0,0,0,0,1,0,8,33
1201286,CABANAS,Rural,Control,5,0,2,2,0,2015,2016,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,10,9,19,7,10,8,18,0,1,0,1,0,0,0,0,1,0,4,24
1197830,CABANAS,Rural,Control,25,0,2,2,0,2008,2008,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,9,9,18,7,7,9,16,0,0,0,1,0,0,0,0,1,0,11,39
1090575,CABANAS,Rural,Treatment,50,0,2,2,0,2017,2018,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,13,5,18,7,9,2,11,1,1,0,1,0,0,0,0,1,0,2,26
1102632,CABANAS,Rural,Treatment,21,0,1,2,1,2011,2018,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,5,10,15,7,5,8,13,1,0,0,0,1,0,0,1,0,0,8,30
1214486,CABANAS,Rural,Control,25,0,1,2,0,2001,2011,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,16,16,32,7,16,15,31,0,0,0,1,0,0,0,1,0,0,18,43
1095230,CABANAS,Rural,Treatment,50,0,2,2,1,2010,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,9,8,17,7,9,3,12,1,1,0,0,1,0,0,0,1,0,9,32
1202569,CABANAS,Rural,Control,25,0,2,2,0,2006,2011,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,21,15,36,7,21,10,31,0,1,0,1,0,0,0,0,1,0,13,39
1212948,CABANAS,Rural,Control,25,0,2,2,0,1992,2002,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,23,13,36,7,18,10,28,0,1,0,1,0,0,0,0,1,0,27,43
1103261,CABANAS,Rural,Treatment,25,0,2,2,1,2010,2016,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,12,10,22,7,11,4,15,1,0,0,1,0,0,0,0,1,0,9,31
1097477,CABANAS,Rural,Treatment,15,0,2,2,0,2008,2017,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,20,15,35,7,20,13,33,1,0,0,1,0,0,0,0,1,0,11,41
1212338,CABANAS,Rural,Control,5,0,1,2,1,2002,2017,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,18,18,36,7,18,18,36,0,1,0,1,0,0,0,1,0,0,17,44
1104714,CABANAS,Rural,Treatment,5,0,2,2,1,1989,2003,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,12,13,25,7,12,13,25,1,1,0,1,0,0,0,0,1,0,30,54
1088036,CABANAS,Urbana,Treatment,5,0,1,2,0,1982,1984,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,11,14,25,7,8,11,19,1,0,1,0,0,0,0,1,0,0,37,58
1087690,CABANAS,Urbana,Treatment,5,0,1,2,0,2010,2015,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,21,17,38,7,21,16,37,1,0,0,0,1,0,0,1,0,0,9,28
1096763,CABANAS,Rural,Treatment,5,0,2,2,0,1998,2008,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,13,11,24,7,10,10,20,1,1,0,0,1,0,0,0,1,0,21,45
1102893,CABANAS,Rural,Treatment,49,0,2,2,0,2009,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,11,16,27,7,10,11,21,1,0,0,1,0,0,0,0,1,0,10,36
1100993,CABANAS,Rural,Treatment,1,0,2,2,0,2009,2013,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,13,19,32,7,13,18,31,1,0,0,0,1,0,0,0,1,0,10,30
1093996,CABANAS,Urbana,Treatment,4,0,1,2,0,2011,2015,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,10,14,24,7,8,11,19,1,0,0,1,0,0,0,1,0,0,8,29
1194716,CABANAS,Urbana,Control,5,0,1,2,0,2006,2017,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,12,12,24,7,13,11,24,0,1,0,0,1,0,0,1,0,0,13,35
1197843,CABANAS,Urbana,Control,5,0,1,2,0,1992,1995,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,17,14,31,7,17,14,31,0,0,0,0,1,0,0,1,0,0,27,56
1110899,CABANAS,Rural,Treatment,30,0,2,1,1,2004,2009,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,3,2,5,7,3,2,5,1,0,0,1,0,0,0,0,1,0,15,37
1215690,CABANAS,Rural,Control,25,0,2,2,0,2008,2013,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,4,5,7,1,4,5,0,0,0,0,1,0,0,0,1,0,11,33
1207579,CABANAS,Urbana,Control,5,0,1,2,0,2002,2012,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,15,19,34,7,15,17,32,0,1,0,1,0,0,0,1,0,0,17,39
1099194,CABANAS,Urbana,Treatment,25,0,3,2,0,2007,2012,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,14,18,32,7,18,14,32,1,0,0,0,1,0,0,0,0,1,12,33
