ID_IE,Time_Acrtive_Learn_Students_min,Duration_Lesson_min,Total_No_Students,Work_Shift_G7,Giving_Excercise,How_to_check_solutn__3,Frequency_Suggestion_Clues,Advice_Consultation_Students,How_to_check_solutn__2,Instruction_Try_Wrong_Solutions,Giving_HW,Walk_through_Desks,Homework_Given_G7,HM_Observe,HM_Suggestion,frequency_HW_G7_e,timing_check_HW_G7_e__1,timing_check_HW_G7_e__2,timing_check_HW_G7_e__3,timing_check_HW_G7_e__4,Class_AM_G8_f__1,Class_AM_G8_f__2,Class_AM_G8_f__3,Class_AM_G8_f__4,Class_AM_G8_f__5,Class_AM_G8_f__6,Class_PM_G8_f__1,Class_PM_G8_f__2,Class_PM_G8_f__3,Class_PM_G8_f__4,Class_PM_G8_f__5,Class_PM_G8_f__6,Teaching_Grade_f__1,Teaching_Grade_f__2,Teaching_Grade_f__3,Teaching_Grade_f__4,Teaching_Grade_f__5,Teaching_Grade_f__6,Teaching_Grade_f__7,Teaching_Grade_f__8,Teaching_Grade_f__9,Teaching_other_subject_G7,adjust_delay_class_e__5,Check_annl_plan_e,RP_topics,RP_topics_1_e,RP_topics_2_e,RP_topics_3_e,lesson_text_G7_e__1,lesson_text_G7_e__2,lesson_text_G7_e__3,lesson_text_G7_e__4,lesson_text_G7_e__5,lesson_text_G7_e__6,use_text_plan_e__1,use_text_plan_e__2,use_text_plan_e__3,use_text_plan_e__4,use_text_plan_e__5,use_text_plan_e__6,Multigrade_G7,Topic_suggest_HM_e__1,Topic_suggest_HM_e__2,Topic_suggest_HM_e__3,Topic_suggest_HM_e__4,Topic_suggest_HM_e__5,Topic_suggest_HM_e__6,Usage_Teachers_Guide_G7,Teacher_Guide_by_JICA_G7,Grade,department,urban.rural,treatment,treatment_d,Teacher_Age,Teacher_Sex,Ttl_teaching_periods,Teaching_Grade,Year_Start_teach,Long_leave,duration_leave_yrs,Academic_History,Academic_History_Others,Highest_Degree_highschool,Highest_Degree_professorate,Highest_Degree_bachelor,Highest_Degree_master,Highest_Degree_doctor,Highest_Degree_other,Teachr_Qualification__1,Teachr_Qualification__2,Teachr_Qualification__3,Teachr_Qualification__4,Teachr_Qualification__5,Teachr_Qualification__6,Teachr_Qualification__7,Teachr_Qualification__8,Teachr_Apontmt_Post__1,Teachr_Apontmt_Post__2,Teachr_Apontmt_Post__3,Teachr_Apontmt_Post__4,solve_quetn_tchr_frq_e,Anlnl_Plan_e,RP_Participate,RP_Frequency,No_Students_F_G7,No_Students_M_G7,No_Students_Ttl_G7,Confirmation_HW,Review_HW,Excercise_Oral_Written,How_to_check_solutn__1,How_to_check_solutn__4,How_to_check_solutn__5,How_to_check_solutn__6,How_to_check_solutn__7,Giving_Correct_Answer,Time_Active_Learning_min,Year_Start_teach_r,HM_Sex_e2,HM_Age_e2,Year_HM_ttl_e2,Year_HM_this_school_e2,HM_Highest_Degree_highschool,HM_Highest_Degree_bachelor,HM_Highest_Degree_master,HM_Highest_Degree_doctor,HM_Highest_Degree_professorate,HM_Highest_Degree_other,HM_Teacher_Title__1_e2,HM_Teacher_Title__2_e2,HM_Teacher_Title__3_e2,HM_Degree_Teacher__1_e2,HM_Degree_Teacher__2_e2,HM_Degree_Teacher__3_e2,HM_Degree_Teacher__4_e2,HM_Degree_Teacher__5_e2,HM_Degree_Teacher__6_e2,HM_Degree_Teacher__7_e2,HM_Degree_Teacher__8_e2,Number_G2_Students_AM_r,Number_G7_Students_AM_r,Number_G2_Students_PM_r,Number_G7_Students_PM_r,Number_total_Students,School_Facility__1,School_Facility__2,School_Facility__3,School_Facility__4,School_Facility__5,School_Facility__6,School_Facility__7,School_Facility__8,Donor_Project,Donor_Project__2,Donor_Project__3,Donor_Project__4,Donor_Project__5,Donor_Project__6,Donor_Project__7,Donor_Project__8,Donor_Project__9,Donor_Project__10,Donor_Project__11,Donor_Project__12,Donor_Project__13,Donor_Project__14,Donor_Project__15,Donor_Project__16,Donor_Project__17,Donor_Project__18,Donor_Project__19,Donor_Project__20,Grade_Observed_f_g7,Grade_Observed_f_g8,Grade_Observed_f_g9,timing_end,timing_fus,treatment_2018,treatment_2019,Percentage_Time_Active_Learn_Students_min,Multigrade_G7_2018,Multigrade_G7_2019,Total_No_Students_2018,Total_No_Students_2019
319079,4,40,23,2,1,1,1,0,0,0,1,1,4,1,1,3,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,7,SAN MIGUEL,Urbana,Treatment,1,46,0,25,0,1992,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,3,12,12,24,1,2,2,0,1,0,1,0,1,2,27,1,56,9,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,28,0,24,42,410,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,10,0,0,0,23
319079,23,42,23,2,1,1,1,0,1,0,0,1,4,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,7,SAN MIGUEL,Urbana,Treatment,1,46,0,25,0,1992,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,3,12,12,24,1,2,2,0,1,0,1,0,1,2,27,1,56,9,9,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,28,0,24,42,410,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,54.76,1,0,23,0
489699,1,50,22,1,1,1,1,0,0,1,0,1,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,7,SAN VICENTE,Urbana,Treatment,1,41,1,50,0,2000,2,0,3,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,1,0,NA,17,6,23,2,2,1,0,0,0,0,0,2,7,19,1,40,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,23,44,0,0,249,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,22,0
1090117,5,45,14,1,1,1,1,0,0,0,1,1,3,5,1,3,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,1,3,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,7,CABANAS,Rural,Treatment,1,29,0,25,0,2015,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,4,14,18,2,2,2,0,0,0,1,0,1,10,4,0,39,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,18,18,15,349,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,11.11,0,0,0,14
1090117,22,60,15,1,1,1,1,0,0,1,1,1,4,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,7,CABANAS,Rural,Treatment,1,29,0,25,0,2015,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,4,14,18,2,2,2,0,0,0,1,0,1,10,4,1,35,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31,18,18,15,349,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,36.67,0,0,15,0
1198421,4,43,5,2,1,1,1,0,0,0,1,1,4,4,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,2,1,1,0,1,0,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,1,7,CABANAS,Rural,Control,0,33,1,21,0,2011,1,1,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,2,4,6,1,1,2,0,0,0,0,0,2,8,7,1,60,16,9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,13,0,0,31,167,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,9.3,0,0,5,0
1198421,6,45,10,2,1,1,1,0,0,0,0,1,4,1,1,3,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,7,CABANAS,Rural,Control,0,33,1,21,0,2011,1,1,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,2,2,4,6,1,1,2,0,0,0,0,0,2,8,7,1,60,16,9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,13,0,0,31,167,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,13.33,0,0,0,10
1201286,4,45,14,2,1,0,1,1,0,1,0,1,3,3,3,3,1,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,7,CABANAS,Rural,Control,0,24,1,5,0,2015,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,3,10,9,19,2,2,2,0,0,0,0,0,2,10,4,0,44,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,20,0,0,19,180,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8.89,0,0,0,14
1201286,6,46,18,2,1,1,1,1,0,1,1,1,3,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,7,CABANAS,Rural,Control,0,24,1,5,0,2015,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,3,10,9,19,2,2,2,0,0,0,0,0,2,10,4,0,44,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,20,0,0,19,180,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,13.04,0,0,18,0
1197830,4,34,14,2,1,0,1,0,1,0,1,0,4,3,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,7,CABANAS,Rural,Control,0,39,0,25,1,2008,2,0,2,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,3,8,8,16,2,1,2,0,0,0,1,0,1,4,11,0,49,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,25,0,0,18,177,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.76,0,0,14,0
