"Item","Correct_Rate","N_Correct","N_Wrong","N_Missing","Total_Responses","Correct_Percentage"
"Q1",0.380330999363463,1195,1947,0,3142,38
"Q2",0.149267982176957,469,2673,0,3142,14.9
"Q3",0.308084022915341,968,2174,0,3142,30.8
"Q4",0.184914067472947,581,2561,0,3142,18.5
"Q5",0.0716104392106938,225,2917,0,3142,7.2
"Q6",0.248567791215786,781,2361,0,3142,24.9
"Q7",0.429980903882877,1351,1791,0,3142,43
"Q8",0.099618077657543,313,2829,0,3142,10
"Q9",0.0884786760025461,278,2864,0,3142,8.8
"Q10",0.301400381922342,947,2195,0,3142,30.1
"Q11",0.0120942075111394,38,3104,0,3142,1.2
"Q12",0.183322724379376,576,2566,0,3142,18.3
"Q13",0.732654360280076,2302,840,0,3142,73.3
"Q14",0.123488224061108,388,2754,0,3142,12.3
"Q15",0.281349458943348,884,2258,0,3142,28.1
"Q16",0.0330999363462763,104,3038,0,3142,3.3
"Q17",0.416931890515595,1310,1832,0,3142,41.7
"Q18",0.16008911521324,503,2639,0,3142,16
"Q19",0.319541693189052,1004,2138,0,3142,32
"Q20",0.296308084022915,931,2211,0,3142,29.6
"Q21",0.0486950986632718,153,2989,0,3142,4.9
"Q22",0.11457670273711,360,2782,0,3142,11.5
"Q23",0.0480585614258434,151,2991,0,3142,4.8
"Q24",0.187460216422661,589,2553,0,3142,18.7
"Q25",0.0299172501591343,94,3048,0,3142,3
